sample_index,timestamp_sec,raw,voltage_v
0,0.0,-29886,0.0
1,6.25e-05,-29877,0.0
2,0.000125,-29872,0.0
3,0.0001875,-29874,0.0
4,0.00025,-29877,0.0
5,0.0003125,-29888,0.0
6,0.000375,-29886,0.0
7,0.0004375,-29884,0.0
8,0.0005,-29882,0.0
9,0.0005625,-29878,0.0
10,0.000625,-29881,0.0
11,0.0006875,-29879,0.0
12,0.00075,-29878,0.0
13,0.0008125,-29882,0.0
14,0.000875,-29879,0.0
15,0.0009375,-29875,0.0
16,0.001,-29881,0.0
17,0.0010625,-29885,0.0
18,0.001125,-29885,0.0
19,0.0011875,-29887,0.0
20,0.00125,-29878,0.0
21,0.0013125,-29876,0.0
22,0.001375,-29869,0.0
23,0.0014375,-29867,0.0
24,0.0015,-29869,0.0
25,0.0015625,-29870,0.0
26,0.001625,-29872,0.0
27,0.0016875,-29879,0.0
28,0.00175,-29871,0.0
29,0.0018125,-29869,0.0
30,0.001875,-29871,0.0
31,0.0019375,-29876,0.0
32,0.002,-29875,0.0
33,0.0020625,-29873,0.0
34,0.002125,-29876,0.0
35,0.0021875,-29874,0.0
36,0.00225,-29868,0.0
37,0.0023125,-29872,0.0
38,0.002375,-29874,0.0
39,0.0024375,-29868,0.0
40,0.0025,-29866,0.0
41,0.0025625,-29868,0.0
42,0.002625,-29872,0.0
43,0.0026875,-29879,0.0
44,0.00275,-29877,0.0
45,0.0028125,-29876,0.0
46,0.002875,-29878,0.0
47,0.0029375,-29881,0.0
48,0.003,-29875,0.0
49,0.0030625,-29873,0.0
50,0.003125,-29878,0.0
51,0.0031875,-29873,0.0
52,0.00325,-29873,0.0
53,0.0033125,-29872,0.0
54,0.003375,-29876,0.0
55,0.0034375,-29873,0.0
56,0.0035,-29871,0.0
57,0.0035625,-29873,0.0
58,0.003625,-29871,0.0
59,0.0036875,-29867,0.0
60,0.00375,-29872,0.0
61,0.0038125,-29880,0.0
62,0.003875,-29871,0.0
63,0.0039375,-29874,0.0
64,0.004,-29872,0.0
65,0.0040625,-29865,0.0
66,0.004125,-29868,0.0
67,0.0041875,-29868,0.0
68,0.00425,-29875,0.0
69,0.0043125,-29872,0.0
