timestamp_us,sample_index,distance_mm,range_status,timeout,i2c_address,sample_period_ms,timing_budget_us
2762882,0,1464,0,0,0x29,50,50000
2846560,1,1465,0,0,0x29,50,50000
2939698,2,1460,0,0,0x29,50,50000
3032927,3,1461,0,0,0x29,50,50000
3125913,4,1463,0,0,0x29,50,50000
3219020,5,1462,0,0,0x29,50,50000
3312127,6,1469,0,0,0x29,50,50000
3405315,7,1462,0,0,0x29,50,50000
3498880,8,1461,0,0,0x29,50,50000
3592018,9,1459,0,0,0x29,50,50000
3685125,10,1462,0,0,0x29,50,50000
3778171,11,1457,0,0,0x29,50,50000
3871309,12,1468,0,0,0x29,50,50000
3964478,13,1469,0,0,0x29,50,50000
4057555,14,0,0,0,0x29,50,50000
4150753,15,31,0,0,0x29,50,50000
4243830,16,20,0,0,0x29,50,50000
4336896,17,8,0,0,0x29,50,50000
4430003,18,8,0,0,0x29,50,50000
4523141,19,25,0,0,0x29,50,50000
4616248,20,57,0,0,0x29,50,50000
4709356,21,93,0,0,0x29,50,50000
4802524,22,126,0,0,0x29,50,50000
4896089,23,173,0,0,0x29,50,50000
4989258,24,188,0,0,0x29,50,50000
5082334,25,216,0,0,0x29,50,50000
5175442,26,237,0,0,0x29,50,50000
5268549,27,259,0,0,0x29,50,50000
5361706,28,274,0,0,0x29,50,50000
5459940,29,289,0,0,0x29,50,50000
5553109,30,293,0,0,0x29,50,50000
5646216,31,290,0,0,0x29,50,50000
5739812,32,283,0,0,0x29,50,50000
5832919,33,272,0,0,0x29,50,50000
5926026,34,253,0,0,0x29,50,50000
6019683,35,226,0,0,0x29,50,50000
6112790,36,198,0,0,0x29,50,50000
6205898,37,168,0,0,0x29,50,50000
6299036,38,140,0,0,0x29,50,50000
6392162,39,118,0,0,0x29,50,50000
6485239,40,106,0,0,0x29,50,50000
6578346,41,82,0,0,0x29,50,50000
6671515,42,69,0,0,0x29,50,50000
6764652,43,56,0,0,0x29,50,50000
6858248,44,47,0,0,0x29,50,50000
6951416,45,34,0,0,0x29,50,50000
7044432,46,20,0,0,0x29,50,50000
7137570,47,16,0,0,0x29,50,50000
7230708,48,12,0,0,0x29,50,50000
7323804,49,11,0,0,0x29,50,50000
7416972,50,15,0,0,0x29,50,50000
7510049,51,29,0,0,0x29,50,50000
7603156,52,59,0,0,0x29,50,50000
8033599,53,226,7,0,0x29,50,50000
8069822,54,291,2,0,0x29,50,50000
8273127,55,265,0,0,0x29,50,50000
8350659,56,289,0,0,0x29,50,50000
8443766,57,305,0,0,0x29,50,50000
8536935,58,318,0,0,0x29,50,50000
8629981,59,329,0,0,0x29,50,50000
8723119,60,331,0,0,0x29,50,50000
8816226,61,324,0,0,0x29,50,50000
8909333,62,313,0,0,0x29,50,50000
9002441,63,298,0,0,0x29,50,50000
9095609,64,274,0,0,0x29,50,50000
9188686,65,246,0,0,0x29,50,50000
9281824,66,219,0,0,0x29,50,50000
9374920,67,187,0,0,0x29,50,50000
9468027,68,163,0,0,0x29,50,50000
9561196,69,132,0,0,0x29,50,50000
9654272,70,117,0,0,0x29,50,50000
9747380,71,90,0,0,0x29,50,50000
9840518,72,79,0,0,0x29,50,50000
9933656,73,66,0,0,0x29,50,50000
10026732,74,50,0,0,0x29,50,50000
10120359,75,45,0,0,0x29,50,50000
10213466,76,29,0,0,0x29,50,50000
10306634,77,20,0,0,0x29,50,50000
10399730,78,17,0,0,0x29,50,50000
10492837,79,17,0,0,0x29,50,50000
10585914,80,23,0,0,0x29,50,50000
10679113,81,43,0,0,0x29,50,50000
10746342,82,1945,2,0,0x29,50,50000
10818759,83,1460,0,0,0x29,50,50000
10911897,84,1464,0,0,0x29,50,50000
11005004,85,1467,0,0,0x29,50,50000
11098112,86,1457,0,0,0x29,50,50000
11191219,87,1456,0,0,0x29,50,50000
11284326,88,1453,0,0,0x29,50,50000
11377514,89,1456,0,0,0x29,50,50000
11470591,90,1451,0,0,0x29,50,50000
11563698,91,1450,0,0,0x29,50,50000
11656866,92,1440,0,0,0x29,50,50000
11749974,93,1443,0,0,0x29,50,50000
11843112,94,1440,0,0,0x29,50,50000
11936188,95,1438,0,0,0x29,50,50000
12029326,96,1440,0,0,0x29,50,50000
12122434,97,1437,0,0,0x29,50,50000
12215602,98,1441,0,0,0x29,50,50000
12308679,99,1443,0,0,0x29,50,50000
12406963,100,1446,0,0,0x29,50,50000
12500101,101,1447,0,0,0x29,50,50000
12593238,102,1453,0,0,0x29,50,50000
12686346,103,1451,0,0,0x29,50,50000
